Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,200,1208,1
1,23.08,11.5,1,1,ConsumerDiscretionary,White,3.5,1,1,9,0,ByBirth,56,742,1
1,59.5,2.75,1,1,Industrials,White,1.75,1,1,5,1,ByBirth,60,58,1
1,48.58,6.5,1,1,Materials,Black,6.0,1,0,0,1,ByBirth,350,0,1
1,48.08,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,0,2690,1
1,22.67,2.54,0,0,Energy,Black,2.585,1,0,0,0,ByBirth,0,0,1
1,26.75,1.125,1,1,Utilities,Black,1.25,1,0,0,0,ByBirth,0,5298,1
1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,400,5800,1
0,18.83,9.5,1,1,Industrials,White,1.625,1,1,6,1,ByBirth,40,600,1
0,25.0,12.33,1,1,InformationTechnology,Black,3.5,1,1,6,0,ByBirth,400,458,1
0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560,1
0,17.83,11.0,1,1,Utilities,Black,1.0,1,1,11,0,ByBirth,0,3000,1
1,22.75,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth,100,809,1
1,23.92,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth,100,0,1
0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560,1
1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,239,200,1
1,37.33,6.5,1,1,CommunicationServices,Black,4.25,1,1,12,1,ByBirth,93,0,1
1,29.58,4.5,1,1,Industrials,White,7.5,1,1,2,1,ByBirth,330,0,1
1,21.33,7.5,1,1,ConsumerStaples,White,1.415,1,1,1,0,ByBirth,80,9800,1
0,47.25,0.75,1,1,Materials,Black,2.75,1,1,1,0,ByBirth,333,892,1
1,39.58,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,70,0,1
1,35.17,2.5,1,1,Financials,White,4.5,1,1,7,0,ByBirth,150,1270,1
1,24.5,12.75,1,1,Energy,Asian,4.75,1,1,2,0,ByBirth,73,444,1
1,23.08,11.5,1,1,Industrials,Black,2.125,1,1,11,1,ByBirth,290,284,1
0,29.5,0.46,1,1,Financials,White,0.54,1,1,4,0,ByBirth,380,500,1
0,25.17,2.875,1,1,Utilities,Black,0.875,1,0,0,0,ByBirth,360,0,1
0,18.08,0.375,0,1,InformationTechnology,Latino,10.0,0,0,0,1,ByOtherMeans,300,0,1
1,33.17,1.0,1,1,Utilities,White,0.75,1,1,7,1,ByBirth,340,4071,1
1,26.17,0.25,1,1,ConsumerDiscretionary,Asian,0.0,1,0,0,1,ByBirth,0,0,1
1,23.17,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,36.75,0.125,0,0,Energy,White,1.5,0,0,0,1,ByBirth,232,113,1
1,59.67,1.54,1,1,Materials,White,0.125,1,0,0,1,ByBirth,260,0,1
1,21.0,4.79,0,0,Industrials,White,2.25,1,1,1,1,ByBirth,80,300,1
1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,400,5800,1
1,30.17,0.5,1,1,Energy,White,1.75,1,1,11,0,ByBirth,32,540,1
1,48.58,0.205,0,0,Financials,White,0.25,1,1,11,0,ByBirth,380,2732,1
1,33.17,1.0,1,1,Utilities,White,0.75,1,1,7,1,ByBirth,340,4071,1
0,58.42,21.0,1,1,ConsumerDiscretionary,Asian,10.0,1,1,13,0,ByBirth,0,6700,1
1,34.17,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,0,221,1
0,20.75,10.25,1,1,Materials,White,0.71,1,1,2,1,ByBirth,49,0,1
0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,0,0,1
0,21.5,6.0,1,1,ConsumerStaples,White,2.5,1,1,3,0,ByBirth,80,918,1
1,26.67,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth,120,0,1
1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,180,314,1
1,27.0,1.5,0,0,Industrials,White,0.375,1,0,0,1,ByBirth,260,1065,1
0,20.67,3.0,1,1,Materials,White,0.165,1,1,3,0,ByBirth,100,6,1
0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,80,400,1
1,48.75,8.5,1,1,Energy,Black,12.5,1,1,9,0,ByBirth,181,1655,1
1,22.75,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth,100,809,1
1,39.5,4.25,1,1,Energy,Asian,6.5,1,1,16,0,ByBirth,117,1210,1
1,73.42,17.75,1,1,Healthcare,Latino,0.0,1,0,0,1,ByBirth,0,0,1
0,32.17,1.46,1,1,Industrials,White,1.085,1,1,16,0,ByBirth,120,2079,1
1,28.25,5.125,1,1,Utilities,White,4.75,1,1,2,0,ByBirth,420,7,1
1,34.17,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,0,221,1
1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,0,0,1
0,21.25,2.335,1,1,ConsumerDiscretionary,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1
0,19.67,0.21,1,1,Materials,Black,0.29,1,1,11,0,ByBirth,80,99,1
1,42.17,5.04,1,1,Materials,Black,12.75,1,0,0,1,ByBirth,92,0,1
1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,0,5000,1
1,31.92,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth,311,300,1
1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,250,730,1
0,33.67,0.375,1,1,InformationTechnology,White,0.375,0,0,0,0,ByBirth,300,44,1
1,25.33,0.58,1,1,Energy,White,0.29,1,1,7,1,ByBirth,96,5124,1
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
1,53.92,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1
1,21.25,1.5,1,1,Industrials,White,1.5,0,0,0,0,ByBirth,150,8,1
0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560,1
1,20.42,7.0,1,1,Energy,White,1.625,1,1,3,0,ByBirth,200,1391,1
0,40.33,7.54,0,0,Materials,Black,8.0,1,1,14,0,ByBirth,0,2300,1
0,26.08,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth,160,150,1
1,38.58,3.335,1,1,Industrials,White,4.0,1,1,14,0,ByBirth,383,1344,1
1,20.17,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,120,0,1
0,47.25,0.75,1,1,Materials,Black,2.75,1,1,1,0,ByBirth,333,892,1
1,51.33,10.0,1,1,ConsumerDiscretionary,Asian,0.0,1,1,11,0,ByBirth,0,1249,1
1,39.08,6.0,1,1,CommunicationServices,White,1.29,1,1,5,1,ByBirth,108,1097,1
1,23.17,11.125,1,1,Utilities,Black,0.46,1,1,1,0,ByBirth,100,0,1
0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,0,0,1
1,28.92,15.0,1,1,Energy,Black,5.335,1,1,11,0,ByBirth,0,2283,1
1,23.25,4.0,1,1,Energy,Asian,0.25,1,0,0,1,ByBirth,160,0,1
0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,80,400,1
1,28.25,5.125,1,1,Utilities,White,4.75,1,1,2,0,ByBirth,420,7,1
1,20.25,9.96,1,1,Education,Other,0.0,1,0,0,0,ByBirth,0,0,1
1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,280,0,1
1,43.0,0.29,0,0,InformationTechnology,Black,1.75,1,1,8,0,ByBirth,100,375,1
0,18.83,4.415,0,0,Energy,Black,3.0,1,0,0,0,ByBirth,240,0,1
1,28.25,5.125,1,1,Utilities,White,4.75,1,1,2,0,ByBirth,420,7,1
1,21.0,4.79,0,0,Industrials,White,2.25,1,1,1,1,ByBirth,80,300,1
0,33.08,4.625,1,1,Materials,Black,1.625,1,1,2,0,ByBirth,0,0,1
1,55.92,11.5,1,1,Healthcare,Latino,5.0,1,1,5,0,ByBirth,0,8851,1
1,57.42,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,0,0,1
1,27.83,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,434,35,1
0,38.25,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,0,0,1
0,71.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,27.67,13.75,1,1,Industrials,White,5.75,1,0,0,1,ByBirth,487,500,1
1,28.46,10.5,1,1,Utilities,White,6.5,1,0,0,0,ByBirth,0,0,1
0,47.42,8.0,1,1,Education,Asian,6.5,1,1,6,0,ByBirth,375,51100,1
1,31.67,0.83,1,1,Utilities,White,1.335,1,1,8,1,ByBirth,303,3290,1
1,34.17,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth,520,50000,1
1,41.17,4.04,1,1,InformationTechnology,Black,7.0,1,1,8,0,ByBirth,320,0,1
1,56.42,28.0,0,0,Energy,White,28.5,1,1,40,0,ByBirth,0,15,1
1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,250,730,1
1,47.67,0.29,1,1,Energy,Asian,15.0,1,1,20,0,ByBirth,0,15000,1
1,31.67,0.83,1,1,Utilities,White,1.335,1,1,8,1,ByBirth,303,3290,1
1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,0,0,1
1,32.75,1.5,1,1,InformationTechnology,Black,5.5,1,1,3,1,ByBirth,0,0,1
1,39.58,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,70,0,1
1,48.5,4.25,1,1,CommunicationServices,White,0.125,1,0,0,1,ByBirth,225,0,1
1,22.67,10.5,1,1,Materials,Black,1.335,1,0,0,0,ByBirth,100,0,1
1,28.25,5.125,1,1,Utilities,White,4.75,1,1,2,0,ByBirth,420,7,1
1,26.17,0.25,1,1,ConsumerDiscretionary,Asian,0.0,1,0,0,1,ByBirth,0,0,1
1,20.17,9.25,1,1,Energy,White,1.665,1,1,3,1,ByBirth,40,28,1
1,39.08,6.0,1,1,CommunicationServices,White,1.29,1,1,5,1,ByBirth,108,1097,1
0,32.33,0.54,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,440,11177,1
1,25.08,1.71,1,1,Utilities,White,1.665,1,1,1,1,ByBirth,395,20,1
1,31.33,19.5,1,1,Energy,White,7.0,1,1,16,0,ByBirth,0,5000,1
1,41.92,0.42,1,1,Energy,Black,0.21,1,1,6,0,ByBirth,220,948,1
1,18.5,2.0,1,1,ConsumerDiscretionary,White,1.5,1,1,2,0,ByBirth,120,300,1
0,57.08,19.5,1,1,Energy,White,5.5,1,1,7,0,ByBirth,0,3000,1
1,24.33,6.625,0,0,Real Estate,White,5.5,1,0,0,1,ByOtherMeans,100,0,1
1,20.17,9.25,1,1,Energy,White,1.665,1,1,3,1,ByBirth,40,28,1
0,25.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
0,18.92,9.0,1,1,ConsumerStaples,White,0.75,1,1,2,0,ByBirth,88,591,1
1,53.92,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1
1,27.58,2.04,0,0,ConsumerStaples,White,2.0,1,1,3,1,ByBirth,370,560,1
0,71.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,43.0,0.29,0,0,InformationTechnology,Black,1.75,1,1,8,0,ByBirth,100,375,1
1,31.33,19.5,1,1,Energy,White,7.0,1,1,16,0,ByBirth,0,5000,1
1,18.08,5.5,1,1,Financials,White,0.5,1,0,0,0,ByBirth,80,0,1
1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,280,0,1
1,42.17,5.04,1,1,Materials,Black,12.75,1,0,0,1,ByBirth,92,0,1
1,27.0,0.75,1,1,Energy,Black,4.25,1,1,3,1,ByBirth,312,150,1
1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
0,40.33,7.54,0,0,Materials,Black,8.0,1,1,14,0,ByBirth,0,2300,1
1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
1,22.75,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth,100,809,1
1,27.67,13.75,1,1,Industrials,White,5.75,1,0,0,1,ByBirth,487,500,1
1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560,1
1,25.0,12.5,1,1,ConsumerStaples,White,3.0,1,0,0,1,ByOtherMeans,20,0,1
1,39.25,9.5,1,1,CommunicationServices,White,6.5,1,1,14,0,ByBirth,240,4607,1
1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,239,200,1
0,25.0,0.875,1,1,Utilities,Black,1.04,1,0,0,1,ByBirth,160,5860,1
1,20.17,9.25,1,1,Energy,White,1.665,1,1,3,1,ByBirth,40,28,1
1,56.0,12.5,1,1,Financials,Black,8.0,1,0,0,1,ByBirth,24,2028,1
1,25.0,12.5,1,1,ConsumerStaples,White,3.0,1,0,0,1,ByOtherMeans,20,0,1
1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,400,5800,1
1,53.92,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1
0,47.25,0.75,1,1,Materials,Black,2.75,1,1,1,0,ByBirth,333,892,1
0,71.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,18.5,2.0,1,1,ConsumerDiscretionary,White,1.5,1,1,2,0,ByBirth,120,300,1
1,39.17,1.71,1,1,Utilities,White,0.125,1,1,5,1,ByBirth,480,0,1
1,21.83,11.0,1,1,Utilities,White,0.29,1,1,6,0,ByBirth,121,0,1
1,25.17,3.5,1,1,InformationTechnology,White,0.625,1,1,7,0,ByBirth,0,7059,1
1,37.5,1.125,0,0,Real Estate,White,1.5,0,0,0,1,ByBirth,431,0,1
1,51.33,10.0,1,1,ConsumerDiscretionary,Asian,0.0,1,1,11,0,ByBirth,0,1249,1
1,30.17,6.5,1,1,InformationTechnology,White,3.125,1,1,8,0,ByBirth,330,1200,1
1,30.17,0.5,1,1,Energy,White,1.75,1,1,11,0,ByBirth,32,540,1
1,27.25,1.665,1,1,InformationTechnology,Black,5.085,1,1,9,0,ByBirth,399,827,1
1,18.5,2.0,1,1,ConsumerDiscretionary,White,1.5,1,1,2,0,ByBirth,120,300,1
0,44.33,0.0,1,1,Energy,White,2.5,1,0,0,0,ByBirth,0,0,1
1,21.33,10.5,1,1,Energy,White,3.0,1,0,0,1,ByBirth,0,0,1
1,22.33,11.0,1,1,Industrials,White,2.0,1,1,1,0,ByBirth,80,278,1
0,19.67,0.21,1,1,Materials,Black,0.29,1,1,11,0,ByBirth,80,99,1
0,25.08,2.54,0,0,ConsumerStaples,White,0.25,1,0,0,1,ByBirth,370,0,1
1,27.67,13.75,1,1,Industrials,White,5.75,1,0,0,1,ByBirth,487,500,1
1,41.92,0.42,1,1,Energy,Black,0.21,1,1,6,0,ByBirth,220,948,1
1,34.5,4.04,0,0,ConsumerDiscretionary,Asian,8.5,1,1,7,1,ByBirth,195,0,1
1,33.17,1.0,1,1,Utilities,White,0.75,1,1,7,1,ByBirth,340,4071,1
1,22.67,1.585,0,0,Industrials,White,3.085,1,1,6,0,ByBirth,80,0,1
1,34.5,4.04,0,0,ConsumerDiscretionary,Asian,8.5,1,1,7,1,ByBirth,195,0,1
1,33.17,3.04,0,0,Energy,Black,2.04,1,1,1,1,ByBirth,180,18027,1
1,22.67,10.5,1,1,Materials,Black,1.335,1,0,0,0,ByBirth,100,0,1
1,27.75,0.585,0,0,InformationTechnology,White,0.25,1,1,2,0,ByBirth,260,500,1
1,27.0,1.5,0,0,Industrials,White,0.375,1,0,0,1,ByBirth,260,1065,1
1,24.42,12.335,1,1,Materials,Black,1.585,1,0,0,1,ByBirth,120,0,1
1,48.17,7.625,1,1,Industrials,Black,15.5,1,1,12,0,ByBirth,0,790,1
1,38.67,0.21,1,1,Financials,White,0.085,1,0,0,1,ByBirth,280,0,1
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
0,22.83,2.29,1,1,Materials,Black,2.29,1,1,7,1,ByBirth,140,2384,1
1,33.17,1.0,1,1,Utilities,White,0.75,1,1,7,1,ByBirth,340,4071,1
1,21.33,10.5,1,1,Energy,White,3.0,1,0,0,1,ByBirth,0,0,1
1,28.0,2.0,1,1,Financials,Black,4.165,1,1,2,1,ByBirth,181,0,1
1,43.25,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth,80,0,1
0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560,1
0,29.5,0.46,1,1,Financials,White,0.54,1,1,4,0,ByBirth,380,500,1
1,76.75,22.29,1,1,Education,Other,12.75,1,1,1,1,ByBirth,0,109,1
1,40.0,6.5,1,1,ConsumerStaples,Asian,3.5,1,1,1,0,ByBirth,0,500,1
1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,583,713,1
0,71.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,180,314,1
1,31.33,19.5,1,1,Energy,White,7.0,1,1,16,0,ByBirth,0,5000,1
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
1,22.67,1.585,0,0,Industrials,White,3.085,1,1,6,0,ByBirth,80,0,1
0,29.5,0.46,1,1,Financials,White,0.54,1,1,4,0,ByBirth,380,500,1
1,59.67,1.54,1,1,Materials,White,0.125,1,0,0,1,ByBirth,260,0,1
0,26.08,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth,160,150,1
1,27.58,2.04,0,0,ConsumerStaples,White,2.0,1,1,3,1,ByBirth,370,560,1
1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,239,200,1
1,19.33,9.5,1,1,Materials,White,1.0,1,0,0,1,ByBirth,60,400,1
1,28.67,9.335,1,1,Materials,Black,5.665,1,1,6,0,ByBirth,381,168,1
1,25.08,1.71,1,1,Utilities,White,1.665,1,1,1,1,ByBirth,395,20,1
1,25.67,12.5,1,1,InformationTechnology,White,1.21,1,1,67,1,ByBirth,140,258,1
1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
0,46.67,0.46,1,1,InformationTechnology,Black,0.415,1,1,11,1,ByBirth,440,6,1
1,76.75,22.29,1,1,Education,Other,12.75,1,1,1,1,ByBirth,0,109,1
1,20.42,7.0,1,1,Energy,White,1.625,1,1,3,0,ByBirth,200,1391,1
1,28.0,2.0,1,1,Financials,Black,4.165,1,1,2,1,ByBirth,181,0,1
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
1,22.58,10.04,1,1,Utilities,White,0.04,1,1,9,0,ByBirth,60,396,1
1,20.5,10.0,0,0,Energy,White,2.5,1,0,0,0,ByOtherMeans,40,0,1
1,39.5,4.25,1,1,Energy,Asian,6.5,1,1,16,0,ByBirth,117,1210,1
1,59.67,1.54,1,1,Materials,White,0.125,1,0,0,1,ByBirth,260,0,1
1,48.17,3.5,1,1,ConsumerStaples,White,3.5,1,0,0,0,ByOtherMeans,230,0,1
1,28.67,9.335,1,1,Materials,Black,5.665,1,1,6,0,ByBirth,381,168,1
1,25.5,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth,260,15108,1
1,73.42,17.75,1,1,Healthcare,Latino,0.0,1,0,0,1,ByBirth,0,0,1
0,65.17,14.0,1,1,Healthcare,Latino,0.0,1,1,11,1,ByBirth,0,1400,1
0,29.5,0.46,1,1,Financials,White,0.54,1,1,4,0,ByBirth,380,500,1
0,21.25,2.335,1,1,ConsumerDiscretionary,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1
1,48.25,25.085,1,1,Industrials,White,1.75,1,1,3,0,ByBirth,120,14,1
1,22.67,10.5,1,1,Materials,Black,1.335,1,0,0,0,ByBirth,100,0,1
1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,0,5000,1
0,17.58,9.0,1,1,ConsumerStaples,White,1.375,1,0,0,1,ByBirth,0,0,1
1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,300,0,1
1,13.75,4.0,0,0,Industrials,White,1.75,1,1,2,1,ByBirth,120,1000,1
1,36.33,2.125,0,0,Industrials,White,0.085,1,1,1,0,ByBirth,50,1187,1
0,23.0,11.75,1,1,Utilities,Black,0.5,1,1,2,1,ByBirth,300,551,1
0,64.08,0.165,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,232,100,1
0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,491,0,1
0,25.0,12.33,1,1,InformationTechnology,Black,3.5,1,1,6,0,ByBirth,400,458,1
1,39.08,6.0,1,1,CommunicationServices,White,1.29,1,1,5,1,ByBirth,108,1097,1
0,47.0,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,0,0,1
1,25.75,0.5,1,1,Energy,White,1.46,1,1,5,1,ByBirth,312,0,1
0,65.17,14.0,1,1,Healthcare,Latino,0.0,1,1,11,1,ByBirth,0,1400,1
1,48.5,4.25,1,1,CommunicationServices,White,0.125,1,0,0,1,ByBirth,225,0,1
1,22.33,11.0,1,1,Industrials,White,2.0,1,1,1,0,ByBirth,80,278,1
1,31.67,0.83,1,1,Utilities,White,1.335,1,1,8,1,ByBirth,303,3290,1
0,29.5,0.46,1,1,Financials,White,0.54,1,1,4,0,ByBirth,380,500,1
1,22.67,1.585,0,0,Industrials,White,3.085,1,1,6,0,ByBirth,80,0,1
1,27.83,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,100,3,1
0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560,1
1,42.83,4.625,1,1,Materials,White,4.58,1,0,0,0,ByOtherMeans,0,0,1
1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,216,0,1
1,28.25,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,396,0,1
1,53.92,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1
1,39.25,9.5,1,1,CommunicationServices,White,6.5,1,1,14,0,ByBirth,240,4607,1
1,36.33,2.125,0,0,Industrials,White,0.085,1,1,1,0,ByBirth,50,1187,1
1,54.33,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth,0,284,1
1,32.08,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,360,0,1
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
1,31.33,19.5,1,1,Energy,White,7.0,1,1,16,0,ByBirth,0,5000,1
1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,583,713,1
1,30.17,0.5,1,1,Energy,White,1.75,1,1,11,0,ByBirth,32,540,1
1,20.08,0.125,1,1,Materials,White,1.0,0,1,1,0,ByBirth,240,768,1
0,22.5,8.46,0,0,Utilities,White,2.46,0,0,0,0,ByBirth,164,0,1
0,56.5,16.0,1,1,Research,Latino,0.0,1,1,15,0,ByBirth,0,247,1
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
0,58.42,21.0,1,1,ConsumerDiscretionary,Asian,10.0,1,1,13,0,ByBirth,0,6700,1
1,25.08,1.71,1,1,Utilities,White,1.665,1,1,1,1,ByBirth,395,20,1
